"Широта","Долгота","Описание","Подпись","Номер метки"
58.52281,31.269915,"Россия, Новгородская область, Великий Новгород",,
58.64474,30.301729,"Россия, Новгородская область, Батецкий район, поселок Батецкий",,
58.565688,30.597032,"Россия, Новгородская область, Батецкий район, деревня Воронино",,
58.491838,30.28935,"Россия, Новгородская область, Батецкий район, деревня Новое Овсино",,
58.791396,30.875761,"Россия, Новгородская область, Новгородский район, поселок городского типа Тёсовский",,
58.208834,30.093733,"Россия, Новгородская область, Солецкий район, поселок Каменка",,
57.927807,30.70677,"Россия, Новгородская область, Волотовский район, поселок Волот",,
58.00852713133914,31.359131990765995,"Россия, Новгородская область, Старая Русса",,
57.665208,30.867281,"Россия, Новгородская область, Поддорский район, деревня Переходы",,
57.409961,31.048947,"Россия, Новгородская область, Поддорский район, деревня Тугино",,
57.145202,31.178781,"Россия, Новгородская область, Холм",,
57.667865,31.765021,"Россия, Новгородская область, Старорусский район, Залучское сельское поселение, село Залучье",,
57.581332,32.652665,"Россия, Новгородская область, Демянский район, деревня Ильина Гора",,
57.534352,32.948273,"Россия, Новгородская область, Демянский район, село Полново",,
57.801658,33.082419,"Россия, Новгородская область, Валдайский район, поселок Новинка",,
57.980199,33.246667,"Россия, Новгородская область, Валдай",,
58.036126,32.959888,"Россия, Новгородская область, Валдайский район, село Яжелбицы",,
57.921493374063736,32.423002282538064,"Россия, Новгородская область, Демянский район, село Лычково",,
58.187197,32.487518,"Россия, Новгородская область, Крестецкий район, деревня Мокрый Остров",,
58.214007,33.517688,"Россия, Новгородская область, Окуловский район, поселок городского типа Угловка",,
58.388219,33.914025,"Россия, Новгородская область, Боровичи",,
58.701964,33.08559,"Россия, Новгородская область, Окуловский район, деревня Висленев Остров",,
58.815748,33.393892,"Россия, Новгородская область, Любытинский район, поселок городского типа Любытино",,
58.93598,33.411031,"Россия, Новгородская область, Любытинский район, деревня Калитино",,
59.098917,31.935737,"Россия, Новгородская область, Чудовский район, деревня Мелехово",,
58.845758,32.217664,"Россия, Новгородская область, Малая Вишера",,
59.104938,33.30397,"Россия, Новгородская область, Любытинский район, деревня Ближнее Заполье",,
58.966335,34.024697,"Россия, Новгородская область, Хвойнинский район, село Анциферово",,
58.896645,34.491507,"Россия, Новгородская область, Хвойнинский район, поселок городского типа Хвойная",,
58.511464,34.593187,"Россия, Новгородская область, Мошенской район, село Мошенское",,
58.803774,35.028403,"Россия, Новгородская область, Хвойнинский район, поселок при станции Кабожа",,
58.629409,35.108937,"Россия, Новгородская область, Мошенской район, деревня Лубенское",,
58.614241,35.422108,"Россия, Новгородская область, Пестовский район, деревня Глухачи",,
58.595347,35.800685,"Россия, Новгородская область, Пестово",,
58.437358,31.708167,"Россия, Новгородская область, Новгородский район, поселок городского типа Пролетарий",,
